"dt_group","dt_name","dt_easting","dt_northing","dt_lat","dt_lon","dt_2003","dt_2004","dt_2005","dt_2006","dt_2007","dt_2008","dt_2009","dt_2010","dt_2011","dt_2012","dt_2013","dt_2014","dt_2015","dt_2016"
"Brinsworth and Catcliffe","Pringle Road Brinsworth","441638","389921","53.4044736126564","-1.37517061709583","-","32","27","28","-","27","28","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Broadway Brinsworth","441862","389460","53.4003124703779","-1.3718625653534","-","36","27","28","-","31","30","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Grange Farm Close","441992","389318","53.3990258764559","-1.36992634766909","-","42","39","39","-","42","42","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Catcliffe Junior School Old Schl La","442732","388747","53.3938345140734","-1.35887498552878","-","37","26","24","-","25","26","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Highfield View Catcliffe","442372","388915","53.3953734313394","-1.36426568681767","-","32","27","28","-","29","29","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Main Street Catcliffe","442593","388591","53.3924435845887","-1.3609860718724","-","34","31","27","-","30","30","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Sheffield Lane","442217","388398","53.3907390076218","-1.36666541030442","-","30","29","26","-","25","26","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Brinsworth Road","442705","388748","53.3938456804377","-1.35928083980045","-","40","35","38","-","37","36","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","Derwent Crescent","441950","389404","53.3998021755024","-1.37054656238551","-","-","47","52","-","53","55","-","-","-","-","-","-","-"
"Brinsworth and Catcliffe","St. David's Drive","441278","390215","53.4071442876925","-1.38054680958846","-","-","27","26","-","29","30","-","-","-","-","-","-","-"
"Handsworth and Darnall","Highfields Highfield Lane","441765","386872","53.3770590932601","-1.3736627370994","-","35","35","28","35","30","28","27","26","-","-","-","-","-"
"Handsworth and Darnall","St Mary's Church","441045","386207","53.3711382863319","-1.38457104058688","-","38","36","32","40","32","32","34","29","-","-","-","-","-"
"Handsworth and Darnall","Fitzallan Road Handsworth","440761","386352","53.3724634778229","-1.38882055125867","-","29","30","25","28","26","24","24","-","-","-","-","-","-"
"Handsworth and Darnall","Rosy's /Anglers Rest","441812","386466","53.3734062355531","-1.37300986521654","-","29","28","23","30","25","23","22","-","-","-","-","-","-"
"Handsworth and Darnall","181 Handsworth Road","440402","386805","53.3765625739729","-1.3941582841829","-","42","39","35","42","38","38","36","34","36","40","35","38","36"
