"permitReference","permitName","address","postcode","permitUrl","section","type","subtype"
"ati-permit.ati_allvac_ltd","ATI Allvac Ltd","Atlas Works, Carlisle St East, Sheffield, S4 7QR","S4 7QR","https://www.sheffield.gov.uk/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/2a/non-ferrous/ATI-Permit/ATI%20Allvac%20Ltd.pdf","A(2)","non-ferrous",""
"fe-mottram-ltd.fe_mottram_ltd","FE Mottram Ltd","Oakes Green, Sheffield, S9 3WS","S9 3WS","https://www.sheffield.gov.uk/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/2a/non-ferrous/FE-Mottram-Ltd/FE%20Mottram%20Ltd.pdf","A(2)","non-ferrous",""
"polestar-permit.polestar_uk_print_ltd_%28sheffield%29","Polestar UK Print Ltd (Sheffield)","Shepcote Lane, Tinsley, Sheffield, S9 1RF","S9 1RF","https://www.sheffield.gov.uk/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/2a/organics/Polestar-Permit/Polestar%20UK%20Print%20Ltd%20%28Sheffield%29.pdf","A(2)","organics",""
"lafarge.Lafarge_Readymix_Ltd.pdf","Lafarge Readymix Ltd (PDF, 466 KB)","Harvest Lane, Sheffield, S3 8ED","S3 8ED","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/lafarge/Lafarge%20Readymix%20Ltd.pdf","B","cement",""
"scc-highways.Sheffield_City_Council.pdf","Sheffield City Council (PDF, 147 KB)","Olive Grove Depot, Sheffield, S2 3GE","S2 3GE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/scc-highways/Sheffield%20City%20Council.pdf","B","cement",""
"hanson-premix.Hanson_Premix.pdf","Hanson Premix (PDF, 123 KB)","918 Penistone Rd, Sheffield, S6 2DL","S6 2DL","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/hanson-premix/Hanson%20Premix.pdf","B","cement",""
"tarmac-carlisle-st.Tarmac_Limited.pdf","Tarmac Limited (PDF, 102 KB)","Carlisle Road, Sheffield, S4 8DQ","S4 8DQ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/tarmac-carlisle-st/Tarmac%20Limited.pdf","B","cement",""
"Bardon-Concrete.Bardon_Concrete.pdf","Bardon Concrete (PDF, 563 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/Bardon-Concrete/Bardon%20Concrete.pdf","B","cement",""
"Rightmix-Concrete-Ltd.Rightmix_Concrete_Ltd.pdf","Rightmix Concrete Ltd (PDF, 679 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/Rightmix-Concrete-Ltd/Rightmix%20Concrete%20Ltd.pdf","B","cement",""
"National-Minimix.National_Minimix__Minimix_Yorkshire_Ltd_.pdf","National Minimix (Minimix Yorkshire Ltd) (PDF, 659 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/National-Minimix/National%20Minimix%20%28Minimix%20Yorkshire%20Ltd%29.pdf","B","cement",""
"Tarmac-Ecclesfield-2.Tarmac_Building_Products_Ltd.pdf","Tarmac Building Products Ltd (PDF, 779 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/Tarmac-Ecclesfield-2/Tarmac%20Building%20Products%20Ltd.pdf","B","cement",""
"Cemex-Stevenson.Cemex_UK_Materials_Ltd.pdf","Cemex UK Materials Ltd (PDF, 490 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/cement/Cemex-Stevenson/Cemex%20UK%20Materials%20Ltd.pdf","B","cement",""
"broadblast.Broadblast_Ltd.pdf","Broadblast Ltd (PDF, 808 KB)","51 Mowbray Street, Sheffield, S3 8EN","S3 8EN","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/coatings/coating-processes/broadblast/Broadblast%20Ltd.pdf","B","coatings","coating-processes"
