# callret-0,callret-1,callret-2
01,2014-10-15,14.14005
02,2014-10-15,18.01575
03,2014-10-15,9.75324
04,2014-10-15,21.7212
05,2014-10-15,8.432925
06,2014-10-15,14.82151
07,2014-10-15,16.35475
08,2014-10-15,10.477245
09,2014-10-15,22.4878
10,2014-10-15,16.6103
11,2014-10-15,20.5712
12,2014-10-15,19.4213
13,2014-10-15,19.6768
14,2014-10-15,20.9545
15,2014-10-15,21.2101
16,2014-10-15,17.1214
01,2014-10-16,11.1161
02,2014-10-16,15.077035
03,2014-10-16,7.79406
04,2014-10-16,22.9989
05,2014-10-16,8.94402
06,2014-10-16,11.37166
07,2014-10-16,10.47725
08,2014-10-16,9.327315
09,2014-10-16,10.7328
10,2014-10-16,9.96617
11,2014-10-16,12.3938
12,2014-10-16,16.0992
13,2014-10-16,13.7993
14,2014-10-16,15.5881
15,2014-10-16,12.2661
16,2014-10-16,14.0549
01,2014-10-17,12.819735
02,2014-10-17,12.5216
03,2014-10-17,10.3921
04,2014-10-17,12.5216
05,2014-10-17,9.58286
06,2014-10-17,10.860565
07,2014-10-17,10.988345
08,2014-10-17,9.710645
09,2014-10-17,17.888
10,2014-10-17,15.5881
11,2014-10-17,18.9102
12,2014-10-17,21.7211
13,2014-10-17,18.1436
14,2014-10-17,15.3326
15,2014-10-17,18.1436
16,2014-10-17,12.2661
01,2014-10-18,7.368150000000001
02,2014-10-18,8.177375
03,2014-10-18,4.897905
04,2014-10-18,8.432919999999999
05,2014-10-18,5.23863
06,2014-10-18,5.11086
07,2014-10-18,6.64412
08,2014-10-18,4.72755
09,2014-10-18,8.432919999999999
10,2014-10-18,6.64412
11,2014-10-18,10.349475
12,2014-10-18,9.96617
13,2014-10-18,9.96617
14,2014-10-18,10.2217
15,2014-10-18,9.71063
16,2014-10-18,8.944000000000001
01,2014-10-19,4.0461
02,2014-10-19,3.83315
03,2014-10-19,4.514595
04,2014-10-19,4.85532
05,2014-10-19,4.59978
06,2014-10-19,3.83315
07,2014-10-19,4.85532
08,2014-10-19,3.5776
09,2014-10-19,5.87749
10,2014-10-19,4.08869
11,2014-10-19,5.238635
