"callret-0"	"callret-1"	"callret-2"
"2014-10-15"	"01"	14.14005
"2014-10-15"	"02"	18.01575
"2014-10-15"	"03"	9.75324
"2014-10-15"	"04"	21.7212
"2014-10-15"	"05"	8.432925
"2014-10-15"	"06"	14.82151
"2014-10-15"	"07"	16.35475
"2014-10-15"	"08"	10.477245
"2014-10-15"	"09"	22.4878
"2014-10-15"	"10"	16.6103
"2014-10-15"	"11"	20.5712
"2014-10-15"	"12"	19.4213
"2014-10-15"	"13"	19.6768
"2014-10-15"	"14"	20.9545
"2014-10-15"	"15"	21.2101
"2014-10-15"	"16"	17.1214
"2014-10-16"	"01"	11.1161
"2014-10-16"	"02"	15.077035
"2014-10-16"	"03"	7.79406
"2014-10-16"	"04"	22.9989
"2014-10-16"	"05"	8.94402
"2014-10-16"	"06"	11.37166
"2014-10-16"	"07"	10.47725
"2014-10-16"	"08"	9.327315
"2014-10-16"	"09"	10.7328
"2014-10-16"	"10"	9.96617
"2014-10-16"	"11"	12.3938
"2014-10-16"	"12"	16.0992
"2014-10-16"	"13"	13.7993
"2014-10-16"	"14"	15.5881
"2014-10-16"	"15"	12.2661
"2014-10-16"	"16"	14.0549
"2014-10-17"	"01"	12.819735
"2014-10-17"	"02"	12.5216
"2014-10-17"	"03"	10.3921
"2014-10-17"	"04"	12.5216
"2014-10-17"	"05"	9.58286
"2014-10-17"	"06"	10.860565
"2014-10-17"	"07"	10.988345
"2014-10-17"	"08"	9.710645
"2014-10-17"	"09"	17.888
"2014-10-17"	"10"	15.5881
"2014-10-17"	"11"	18.9102
"2014-10-17"	"12"	21.7211
"2014-10-17"	"13"	18.1436
"2014-10-17"	"14"	15.3326
"2014-10-17"	"15"	18.1436
"2014-10-17"	"16"	12.2661
"2014-10-18"	"01"	7.368150000000001
"2014-10-18"	"02"	8.177375
"2014-10-18"	"03"	4.897905
"2014-10-18"	"04"	8.432919999999999
"2014-10-18"	"05"	5.23863
"2014-10-18"	"06"	5.11086
"2014-10-18"	"07"	6.64412
"2014-10-18"	"08"	4.72755
"2014-10-18"	"09"	8.432919999999999
"2014-10-18"	"10"	6.64412
"2014-10-18"	"11"	10.349475
"2014-10-18"	"12"	9.96617
"2014-10-18"	"13"	9.96617
"2014-10-18"	"14"	10.2217
"2014-10-18"	"15"	9.71063
"2014-10-18"	"16"	8.944000000000001
"2014-10-19"	"01"	4.0461
"2014-10-19"	"02"	3.83315
"2014-10-19"	"03"	4.514595
"2014-10-19"	"04"	4.85532
"2014-10-19"	"05"	4.59978
"2014-10-19"	"06"	3.83315
"2014-10-19"	"07"	4.85532
"2014-10-19"	"08"	3.5776
"2014-10-19"	"09"	5.87749
"2014-10-19"	"10"	4.08869
"2014-10-19"	"11"	5.238635
"2014-10-19"	"12"	5.87749
"2014-10-19"	"13"	4.34423
"2014-10-19"	"14"	5.87749
"2014-10-19"	"15"	4.85532
"2014-10-19"	"16"	5.11086
"2014-10-20"	"01"	7.325555
"2014-10-20"	"02"	8.81621
"2014-10-20"	"03"	5.32381
"2014-10-20"	"04"	9.71063
"2014-10-20"	"05"	4.855315
"2014-10-20"	"06"	6.77189
"2014-10-20"	"07"	7.66629
